pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH,Calcite,Dolomite
7.983423221,0.003360077,1.37E-07,6.73E-09,4.73E-07,1.70E-05,0.000321099,0.004244645,0.020821344,0.122,1.22E-06,1.28E-05,0.00162587,0.00173,0.004244645,11.22253702,0.11874406,0.001631298
7.512666271,0.009352658,7.87E-08,3.79E-09,8.78E-07,1.34E-05,0.008450451,0.005859381,0.096816863,0.122,1.22E-06,1.12E-05,0.00319251,0.006157913,0.005859381,11.86821738,0.115612748,0.003195966
6.789956511,0.004335715,1.92E-07,4.32E-09,6.41E-07,5.40E-05,0.00172514,0.00709218,0.047048657,0.122,1.22E-06,1.21E-05,0.002241322,0.002052523,0.007092179,10.96490074,0.117475491,0.002284412
6.73559818,0.002437389,1.77E-07,5.84E-09,3.13E-07,1.17E-05,0.002499284,0.005680247,0.074582705,0.122,1.22E-06,0.000822695,0.001860869,0.001387512,0.005680246,7.910300292,0.119089259,0.001051098
7.641127249,0.004920824,7.40E-08,2.80E-09,8.16E-07,5.48E-05,0.003351415,0.002785765,0.077054057,0.122,1.22E-06,1.23E-05,0.001898428,0.002979941,0.002785765,11.66334567,0.118160691,0.001942104
7.144155569,0.002134913,2.79E-08,2.51E-09,5.81E-07,6.13E-05,0.000848239,0.004990653,0.003355472,0.122,1.22E-06,0.000838375,0.001667853,0.001244108,0.004990656,7.938595891,0.119441345,0.000892026
7.593483504,0.005547904,3.81E-08,7.14E-09,9.18E-07,2.34E-05,0.000279122,0.008586218,0.080028098,0.122,1.22E-06,1.14E-05,0.002763762,0.002772138,0.008586218,11.16204606,0.116460479,0.002776986
7.233638936,0.008693799,1.98E-07,5.52E-09,2.56E-07,3.17E-06,0.006337604,0.002293607,0.016934691,0.122,1.22E-06,1.17E-05,0.002700959,0.006001338,0.002293607,11.96394333,0.116606586,0.002693681
6.563312576,0.001986497,5.77E-08,9.29E-09,8.01E-07,3.20E-05,0.005454072,0.004954356,0.007964454,0.122,1.22E-06,0.00103005,0.001709634,0.001274972,0.004954357,7.842510402,0.11957885,0.000712746
6.141786718,0.009894764,8.34E-08,2.46E-09,4.41E-07,1.61E-05,0.003149604,0.00805903,0.03158432,0.122,1.22E-06,1.09E-05,0.003559106,0.006330517,0.00805903,11.81146361,0.114876649,0.003565468
6.025082055,0.007626853,1.86E-07,2.85E-09,5.93E-07,1.36E-05,0.001689037,0.003638353,0.032932359,0.122,1.22E-06,1.16E-05,0.00261082,0.005014101,0.003638353,11.85080599,0.116776431,0.002613972
7.312441798,0.001076935,8.37E-08,7.30E-09,8.79E-07,1.47E-05,0.007641122,0.004383974,0.054649122,0.122,1.22E-06,0.002133097,0.002117153,0.001078153,0.004383965,7.45690786,0.11988407,0
6.919980876,0.008894097,1.77E-07,8.08E-09,5.31E-07,8.13E-05,0.005462894,0.005651826,0.00056332,0.122,1.22E-06,1.13E-05,0.003068268,0.005755815,0.005651826,11.84345689,0.115793458,0.003139503
6.600201008,0.005769544,1.75E-07,2.83E-10,3.33E-07,6.36E-05,0.006049142,0.006603682,0.001858051,0.122,1.22E-06,1.15E-05,0.002527761,0.003189685,0.006603682,11.46683575,0.11689238,0.002581079
7.887128145,0.008971552,1.72E-07,6.41E-09,4.80E-07,4.56E-05,0.002418763,0.006848898,0.089087278,0.122,1.22E-06,1.11E-05,0.003231243,0.005705877,0.006848898,11.79845283,0.115503088,0.003266895
7.546820591,0.003893718,1.66E-07,7.12E-09,5.79E-07,9.17E-05,0.000456416,0.004350302,0.047635845,0.122,1.22E-06,1.25E-05,0.001771066,0.002043491,0.004350301,11.33869945,0.118378714,0.001851447
6.221971906,0.001519303,1.77E-07,4.08E-09,7.20E-07,6.35E-05,0.004115189,0.003296449,0.052441246,0.122,1.22E-06,0.000399181,0.001061644,0.00079332,0.003296453,8.419178106,0.120212377,0.000727204
